// ID-X-Y-Z-W

//Kamfreena
spawn - 2461	2846	3539	2	4	Kamfreena

//Lizardman
spawn - 6766	1431	3705	0	1	Lizardman Shaman
spawn - 6766	1437	3717	0	1	Lizardman Shaman
spawn - 6766	1423	3719	0	1	Lizardman Shaman
spawn - 6766	1425	3704	0	1	Lizardman Shaman

spawn - 6914	1487	3701	0	1	Lizardman
spawn - 6914	1494	3700	0	1	Lizardman
spawn - 6914	1489	3697	0	1	Lizardman
spawn - 6914	1498	3698	0	1	Lizardman
spawn - 6914	1499	3703	0	1	Lizardman
spawn - 6914	1503	3706	0	1	Lizardman
spawn - 6914	1507	3702	0	1	Lizardman
spawn - 6914	1505	3701	0	1	Lizardman
spawn - 6914	1509	3693	0	1	Lizardman
spawn - 6914	1513	3696	0	1	Lizardman
spawn - 6914	1517	3694	0	1	Lizardman
spawn - 6914	1522	3691	0	1	Lizardman
spawn - 6914	1527	3691	0	1	Lizardman
spawn - 6914	1526	3687	0	1	Lizardman
spawn - 6914	1492	3696	0	1	Lizardman
spawn - 6914	1495	3705	0	1	Lizardman
spawn - 6914	1499	3704	0	1	Lizardman
spawn - 6914	1506	3707	0	1	Lizardman
spawn - 6914	1504	3701	0	1	Lizardman

//Donator shop
spawn - 8016	2514	3378	0	1	Spiderling
spawn - 394	2517	3377	0	1	Banker donator zone

//Mac
spawn - 6481	3088	3500	0	1	Mac

//Ironman paul
spawn - 317	3087	3495	0	1	Paul

//Krystilia
spawn - 7663	3109	3516	0	0	Krystilia

//Ironman paul
spawn - 7456	3099	3499	0	2	Perdu

//Fishing spots
spawn - 2913	2594	3417	0	1	Master Fisher
spawn - 1536	2875	3342	0	0	Dark crabs
spawn - 1536	3187	3927	0	0	Dark crabs
spawn - 1536	3184	3926	0	0	Dark crabs
spawn - 1536	3181	3926	0	0	Dark crabs
spawn - 635	3184	3930	0	0	Karambwan  spot
spawn - 635	2877	3342	0	0	Karambwan  spot
spawn - 1518	2876	3342	0	0	Shrimp and Anchovies
spawn - 1518	1850	3792	0	0	Shrimp and Anchovies
spawn - 1526	2879	3338	0	0	Trout and Salmon
spawn - 1526	1852	3790	0	0	Trout and Salmon
spawn - 1526	2879	3339	0	0	Trout and Salmon
spawn - 1519	2879	3334	0	0	Lobster, Tuna and Swordfish
spawn - 1519	2879	3335	0	0	Lobster, Tuna and Swordfish
spawn - 1534	2879	3335	0	0	Monkfish, Tuna and Swordfish
spawn - 1534	2877	3331	0	0	Monkfish, Tuna and Swordfish
spawn - 1534	1852	3788	0	0	Monkfish, Tuna and Swordfish
spawn - 1520	1852	3788	0	0	Mackerel, Cod, Bass and Shark
spawn - 1520	2875	3331	0	0	Mackerel, Cod, Bass and Shark
spawn - 1520	1852	3783	0	0	Mackerel, Cod, Bass and Shark
spawn - 394	2877	3339	0	1	Banker

//Slayer masters
spawn - 401	3105	3507	0	1	Turael
spawn - 402	3517	3509	0	1	Mazchna
spawn - 403	3147	9914	0	1	Vannaka
spawn - 404	2443	4430	0	1	Chaeldar
spawn - 405	2870	2987	0	1	Duradel
spawn - 490	2432	3422	0	1	Nieve

//lumbridge slayer cave
spawn - 481	3160	9573	0	1	Cave bug
spawn - 481	3154	9575	0	1	Cave bug
spawn - 481	3149	9572	0	1	Cave bug
spawn - 481	3150	9554	0	1	Cave bug
spawn - 481	3154	9550	0	1	Cave bug
spawn - 481	3157	9556	0	1	Cave bug
spawn - 480	3158	9592	0	1	Cave slime
spawn - 480	3162	9586	0	1	Cave slime
spawn - 480	3166	9588	0	1	Cave slime
spawn - 480	3181	9584	0	1	Cave slime
spawn - 480	3188	9583	0	1	Cave slime
spawn - 406	3193	9577	0	1	Cave crawler
spawn - 406	3189	9577	0	1	Cave crawler
spawn - 406	3193	9572	0	1	Cave crawler
spawn - 406	3189	9571	0	1	Cave crawler
spawn - 406	3186	9571	0	1	Cave crawler
spawn - 406	3189	9565	0	1	Cave crawler
spawn - 421	3207	9589	0	1	Rock slug
spawn - 421	3211	9589	0	1	Rock slug
spawn - 421	3210	9586	0	1	Rock slug
spawn - 421	3206	9586	0	1	Rock slug
spawn - 421	3222	9588	0	1	Rock slug
spawn - 421	3226	9587	0	1	Rock slug
spawn - 421	3226	9584	0	1	Rock slug
spawn - 421	3221	9583	0	1	Rock slug
spawn - 421	3223	9580	0	1	Rock slug
spawn - 421	3228	9577	0	1	Rock slug
spawn - 421	3221	9575	0	1	Rock slug
spawn - 421	3218	9569	0	1	Rock slug
spawn - 421	3228	9570	0	1	Rock slug
spawn - 481	3245	9579	0	1	Cave bug
spawn - 481	3252	9580	0	1	Cave bug
spawn - 481	3256	9579	0	1	Cave bug
spawn - 481	3254	9570	0	1	Cave bug
spawn - 481	3252	9568	0	1	Cave bug
spawn - 481	3250	9560	0	1	Cave bug
spawn - 481	3244	9559	0	1	Cave bug
spawn - 481	3240	9564	0	1	Cave bug

spawn - 3423	2712	3335	0	1	Grizzly Bear
spawn - 3423	2714	3336	0	1	Grizzly Bear
spawn - 3423	2718	3338	0	1	Grizzly Bear
spawn - 3423	2699	3330	0	1	Grizzly Bear
spawn - 3423	2697	3333	0	1	Grizzly Bear
spawn - 3423	2703	3336	0	1	Grizzly Bear

//Man
spawn - 3078	3103	3488	0	1	Man Edgevile
spawn - 3078	3106	3492	0	1	Man Edgevile
spawn - 3078	3101	3492	0	1	Man Edgevile

//Shops
spawn - 3951	2758	3510	0	1	Legends guild
spawn - 1306	2762	3494	0	1	Make-over mage
spawn - 3894	2754	3507	0	1	Sigmund The Merchant
spawn - 1304	2764	3507	0	1	Noterazzo
spawn - 505	2753	3496	0	1	Bob
spawn - 5362	2762	3499	0	1	Obli

//Custom bosses
spawn - 3359	3038	3699	0	1	Zombies champion
spawn - 6361	2523	4646	0	1	Dagannoth mother


//sand crabs
spawn - 5935	1808	3442	0	1	Sandcrab Hosidius
spawn - 5935	1799	3443	0	1	Sandcrab Hosidius
spawn - 5935	1808	3446	0	1	Sandcrab Hosidius
spawn - 5935	1813	3441	0	1	Sandcrab Hosidius
spawn - 5935	1814	3447	0	1	Sandcrab Hosidius
spawn - 5935	1809	3450	0	1	Sandcrab Hosidius
spawn - 7206	1805	3450	0	1	Sandcrab Hosidius
spawn - 7206	1810	3452	0	1	Sandcrab Hosidius
spawn - 7206	1805	3455	0	1	Sandcrab Hosidius
spawn - 7206	1803	3446	0	1	Sandcrab Hosidius
spawn - 7206	1812	3457	0	1	Sandcrab Hosidius
spawn - 7206	1816	3452	0	1	Sandcrab Hosidius

//Catacombs
spawn - 70	1638	10045	0	1	Skeleton
spawn - 70	1642	10047	0	1	Skeleton
spawn - 70	1639	10049	0	1	Skeleton
spawn - 70	1642	10050	0	1	Skeleton
spawn - 70	1641	10044	0	1	Skeleton
