// ID-X-Y-Z-W

//Kamfreena
spawn - 2461	2846	3539	2	4	Kamfreena



//Donator shop
//spawn - 8016	2514	3378	0	1	Spiderling
//spawn - 394	2517	3377	0	1	Banker donator zone


//Ironman paul
spawn - 317	3087	3495	0	1	Paul

//Krystilia
spawn - 7663	3109	3516	0	0	Krystilia

//Ironman paul
spawn - 7456	3099	3499	0	2	Perdu

//Fishing spots
spawn - 2913	2594	3417	0	1	Master Fisher
spawn - 1536	2875	3342	0	0	Dark crabs
spawn - 1536	3187	3927	0	0	Dark crabs
spawn - 1536	3184	3926	0	0	Dark crabs
spawn - 1536	3181	3926	0	0	Dark crabs
spawn - 635	3184	3930	0	0	Karambwan  spot
spawn - 635	2877	3342	0	0	Karambwan  spot
spawn - 1518	2876	3342	0	0	Shrimp and Anchovies
spawn - 1518	1850	3792	0	0	Shrimp and Anchovies
spawn - 1526	2879	3338	0	0	Trout and Salmon
spawn - 1526	1852	3790	0	0	Trout and Salmon
spawn - 1526	2879	3339	0	0	Trout and Salmon
spawn - 1519	2879	3334	0	0	Lobster, Tuna and Swordfish
spawn - 1519	2879	3335	0	0	Lobster, Tuna and Swordfish
spawn - 1534	2879	3335	0	0	Monkfish, Tuna and Swordfish
spawn - 1534	2877	3331	0	0	Monkfish, Tuna and Swordfish
spawn - 1534	1852	3788	0	0	Monkfish, Tuna and Swordfish
spawn - 1520	1852	3788	0	0	Mackerel, Cod, Bass and Shark
spawn - 1520	2875	3331	0	0	Mackerel, Cod, Bass and Shark
spawn - 1520	1852	3783	0	0	Mackerel, Cod, Bass and Shark
spawn - 394	2877	3339	0	1	Banker

//Slayer masters
spawn - 401	3105	3507	0	1	Turael
spawn - 402	3517	3509	0	1	Mazchna
spawn - 403	3147	9914	0	1	Vannaka
spawn - 404	2443	4430	0	1	Chaeldar
spawn - 405	2870	2987	0	1	Duradel
spawn - 490	2432	3422	0	1	Nieve





spawn - 2209	2883	5306	2	1	Saradomin priest
spawn - 2209	2894	5301	2	1	Saradomin priest
spawn - 2209	2882	5284	2	1	Saradomin priest
spawn - 2209	2882	5297	2	1	Saradomin priest
spawn - 2209	2890	5292	2	1	Saradomin priest
spawn - 2209	2896	5296	2	1	Saradomin priest
spawn - 2209	2905	5299	2	1	Saradomin priest
spawn - 2209	2905	5301	2	1	Saradomin priest
spawn - 2209	2921	5283	1	1	Saradomin priest
spawn - 2211	2889	5310	2	1	Spiritual ranger
spawn - 2211	2887	5299	2	1	Spiritual ranger
spawn - 2211	2891	5297	2	1	Spiritual ranger
spawn - 2211	2884	5283	2	1	Spiritual ranger
spawn - 2211	2885	5286	2	1	Spiritual ranger
spawn - 2211	2886	5294	2	1	Spiritual ranger
spawn - 2211	2896	5286	2	1	Spiritual ranger
spawn - 2211	2908	5302	2	1	Spiritual ranger
spawn - 2211	2899	5296	2	1	Spiritual ranger
spawn - 2211	2919	5285	1	1	Spiritual ranger
spawn - 2211	2919	5279	1	1	Spiritual ranger
spawn - 2211	2919	5290	1	1	Spiritual ranger
spawn - 2212	2886	5311	2	1	Spiritual mage
spawn - 2212	2888	5305	2	1	Spiritual mage
